Fuel_Type,Transmission,Clean_Price,Clean_Kilometers,Year,Brand,Model
Petrol,Missing Transmission,1120000,26003,2024,Volkswagen,VIRTUS
Petrol,Missing Transmission,459000,44956,2021,Maruti,Swift
Petrol,Missing Transmission,225000,62978,2019,Renault,Kwid
Petrol,Manual,365000,62456,2020,Tata,ALTROZ
Petrol,Manual,150000,59844,2016,Maruti,Alto K10
Petrol,Manual,422000,61660,2017,Hyundai,Creta
Petrol,Manual,320000,75953,2019,Hyundai,Grand i10
Petrol,Manual,447000,70814,2023,Nissan,MAGNITE
Petrol,Missing Transmission,388000,97413,2018,Ford,Ecosport
Petrol,Manual,408000,41765,2019,Tata,NEXON
Petrol,Manual,305000,35595,2014,Honda,City
Petrol,Missing Transmission,166000,38346,2018,Renault,Kwid
Petrol,Missing Transmission,400000,44527,2019,Maruti,Swift
Petrol,Manual,461000,13069,2022,Maruti,Swift
Petrol,Manual,259000,63664,2017,Hyundai,Grand i10
Petrol,Manual,465000,52034,2019,Ford,Ecosport
Petrol,Manual,447000,50666,2021,Tata,NEXON
Petrol,Manual,921000,29188,2024,Volkswagen,VIRTUS
Petrol,Manual,304000,73338,2020,Tata,TIGOR
Petrol,Missing Transmission,567000,45906,2021,Tata,NEXON
Petrol,Manual,386000,110963,2017,Honda,City
Diesel,Manual,933000,48427,2021,MG,HECTOR
CNG,Manual,454000,27203,2025,Renault,Kwid
Petrol,Manual,340000,69932,2018,Toyota,YARIS
Petrol,Manual,157000,28086,2015,Maruti,Alto K10
Petrol,Missing Transmission,310000,65031,2016,Hyundai,Grand i10
Petrol,Manual,333000,32396,2015,Honda,City
Petrol,Missing Transmission,491000,70067,2017,Hyundai,Creta
CNG,Manual,264000,49363,2018,Hyundai,NEW SANTRO
Petrol,Manual,298000,56442,2019,Renault,TRIBER
Petrol,Missing Transmission,305000,69304,2019,Maruti,Celerio
Petrol,Missing Transmission,627000,66441,2019,Hyundai,Creta
Petrol,Missing Transmission,468000,53045,2018,Toyota,YARIS
Diesel,Manual,940000,72016,2022,MG,HECTOR
Petrol,Manual,249000,59928,2017,Hyundai,Grand i10
Petrol,Missing Transmission,626000,34304,2021,Tata,NEXON
Petrol,Missing Transmission,442000,57513,2018,Ford,Ecosport
Petrol,Missing Transmission,455000,109066,2018,Toyota,YARIS
Petrol,Manual,208000,65853,2015,Maruti,Swift Dzire
Petrol,Manual,347000,43748,2022,Renault,TRIBER
Petrol,Missing Transmission,325000,44705,2020,Maruti,Celerio
Petrol,Manual,520000,36055,2019,Ford,Ecosport
Petrol,Missing Transmission,631000,51264,2022,Tata,NEXON
Petrol,Missing Transmission,867000,49612,2020,Hyundai,Creta
Petrol,Missing Transmission,832000,84782,2021,MG,HECTOR
Petrol,Manual,246000,25121,2016,Maruti,Swift Dzire
Petrol,Manual,311000,68316,2019,Tata,TIGOR
CNG,Missing Transmission,315000,66387,2019,Maruti,Celerio
CNG,Manual,344000,84018,2014,Toyota,Corolla Altis
Petrol,Manual,324000,37773,2017,Volkswagen,Ameo
Petrol,Missing Transmission,877000,86162,2022,MG,HECTOR
Petrol,Manual,153000,41553,2015,Maruti,Alto 800
Petrol,Missing Transmission,216000,75697,2016,Maruti,Celerio
Petrol,Manual,637000,42429,2021,KIA,SONET
Petrol,Missing Transmission,551000,38909,2021,Ford,Ecosport
Petrol,Missing Transmission,1443000,63201,2022,Mahindra,SCORPIO-N
Diesel,Manual,969000,37327,2023,Hyundai,Creta
Petrol,Manual,461000,34689,2022,Tata,PUNCH
Petrol,Manual,133000,11457,2014,Maruti,Alto 800
Petrol,Manual,479000,15192,2024,Renault,TRIBER
Petrol,Missing Transmission,634000,16624,2023,Tata,NEXON
CNG,Manual,580000,91247,2022,Tata,NEXON
Diesel,Missing Transmission,1156000,72509,2023,Hyundai,Creta
Petrol,Manual,142000,35191,2014,Maruti,Alto 800
Petrol,Missing Transmission,304000,35077,2018,Maruti,Celerio
Petrol,Manual,451999,82015,2020,Tata,NEXON
Petrol,Manual,657000,72661,2023,Honda,City
Hybrid,Missing Transmission,2855000,24109,2024,Toyota,INNOVA HYCROSS
Petrol,Manual,320000,67925,2022,Renault,Kiger
CNG,Manual,391000,68693,2022,Tata,TIGOR
Petrol,Missing Transmission,440000,47908,2022,Maruti,Celerio
Petrol,Missing Transmission,554000,63245,2018,Honda,City
Diesel,Missing Transmission,535000,78603,2022,Tata,NEXON
Petrol,Manual,560000,43458,2021,KIA,SONET
